Tim Robbins,Morgan Freeman,Bob Gunton
Marlon Brando, Al Pacino, James Caan
Christian Bale, Heath Ledger, Aaron Eckhart
Al Pacino, Robert De Niro, Robert Duvall
Henry Fonda, Lee J. Cobb, Martin Balsam
Liam Neeson, Ralph Fiennes, Ben Kingsley
Elijah Wood, Viggo Mortensen, Ian McKellen
John Travolta, Uma Thurman, Samuel L. Jackson
Elijah Wood, Ian McKellen, Orlando Bloom
Clint Eastwood, Eli Wallach, Lee Van Cleef
Tom Hanks, Robin Wright, Gary Sinise
Brad Pitt, Edward Norton, Meat Loaf
Shameik Moore, Hailee Steinfeld, Brian Tyree Henry
Elijah Wood, Ian McKellen, Viggo Mortensen
Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page
Mark Hamill, Harrison Ford, Carrie Fisher
Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss
Robert De Niro, Ray Liotta, Joe Pesci
Jack Nicholson, Louise Fletcher, Michael Berryman
Morgan Freeman, Brad Pitt, Kevin Spacey
James Stewart, Donna Reed, Lionel Barrymore
Toshiro Mifune, Takashi Shimura, Keiko Tsushima
Jodie Foster, Anthony Hopkins, Lawrence A. Bonney
Tom Hanks, Matt Damon, Tom Sizemore
Alexandre Rodrigues, Leandro Firmino, Matheus Nachtergaele
Matthew McConaughey, Anne Hathaway, Jessica Chastain
Roberto Benigni, Nicoletta Braschi, Giorgio Cantarini
Tom Hanks, Michael Clarke Duncan, David Morse
Mark Hamill, Harrison Ford, Carrie Fisher
Arnold Schwarzenegger, Linda Hamilton, Edward Furlong
Michael J. Fox, Christopher Lloyd, Lea Thompson
Daveigh Chase, Suzanne Pleshette, Miyu Irino
Adrien Brody, Thomas Kretschmann, Frank Finlay
Anthony Perkins, Janet Leigh, Vera Miles
Song Kang-ho, Lee Sun-kyun, Cho Yeo-jeong
Jean Reno, Gary Oldman, Natalie Portman
Matthew Broderick, Jeremy Irons, James Earl Jones
Russell Crowe, Joaquin Phoenix, Connie Nielsen
Edward Norton, Edward Furlong, Beverly D'Angelo
Leonardo DiCaprio, Matt Damon, Jack Nicholson
Miles Teller, J.K. Simmons, Melissa Benoist
Christian Bale, Hugh Jackman, Scarlett Johansson
Kevin Spacey, Gabriel Byrne, Chazz Palminteri
Humphrey Bogart, Ingrid Bergman, Paul Henreid
Tsutomu Tatsumi, Ayano Shiraishi, Akemi Yamaguchi
Tatsuya Nakadai, Akira Ishihama, Shima Iwashita
Francois Cluzet, Omar Sy, Anne Le Ny
Charles Chaplin, Paulette Goddard, Henry Bergman
Philippe Noiret, Enzo Cannavale, Antonella Attili
Henry Fonda, Charles Bronson, Claudia Cardinale
James Stewart, Grace Kelly, Wendell Corey
Sigourney Weaver, Tom Skerritt, John Hurt
Charles Chaplin, Virginia Cherrill, Florence Lee
Martin Sheen, Marlon Brando, Robert Duvall
Guy Pearce, Carrie-Anne Moss, Joe Pantoliano
Jamie Foxx, Christoph Waltz, Leonardo DiCaprio
Harrison Ford, Karen Allen, Paul Freeman
Ben Burtt, Elissa Knight, Jeff Garlin
Ulrich Muhe, Martina Gedeck, Sebastian Koch
William Holden, Gloria Swanson, Erich von Stroheim
Kirk Douglas, Ralph Meeker, Adolphe Menjou
Robert Downey Jr., Chris Hemsworth, Mark Ruffalo
